"CO_ANO;""CO_MES"";""CO_NCM"";""CO_UNID"";""CO_PAIS"";""SG_UF_NCM"";""CO_VIA"";""CO_URF"";""QT_ESTAT"";""KG_LIQUIDO"";""VL_FOB"";""VL_FRETE"";""VL_SEGURO"""
"2025;""03"";""39173290"";""10"";""493"";""MG"";""04"";""0817700"";42;42;1842;1668;0"
"2025;""01"";""73182200"";""10"";""361"";""BA"";""04"";""0517801"";1;1;10;77;0"
"2025;""09"";""82119100"";""11"";""160"";""CE"";""01"";""0317900"";2640;151;447;84;3"
"2025;""05"";""68138190"";""10"";""628"";""SP"";""01"";""0817800"";3467;3467;52045;1610;8"
"2025;""01"";""87089100"";""11"";""023"";""SC"";""01"";""0817800"";904;447;14276;20;26"
"2025;""06"";""24031900"";""10"";""399"";""RJ"";""10"";""0717700"";281;281;11433;238;0"
"2025;""04"";""85013110"";""11"";""741"";""AM"";""01"";""0317900"";840;1176;13029;705;15"
"2025;""05"";""30039083"";""10"";""275"";""MG"";""04"";""0817600"";50;50;9868;1241;3"
"2025;""03"";""73079900"";""10"";""603"";""MG"";""04"";""0617700"";0;0;102;1;0"
"2025;""04"";""84818099"";""11"";""776"";""AM"";""01"";""0917800"";840;10;325;23;0"
"2025;""10"";""84099111"";""11"";""737"";""SC"";""01"";""0927700"";1;1;20;0;0"
"2025;""02"";""85015110"";""11"";""160"";""MG"";""01"";""0817800"";426;10385;145999;5063;753"
"2025;""10"";""64039990"";""13"";""474"";""SP"";""04"";""0817600"";232;66;4709;359;1"
"2025;""07"";""61061000"";""11"";""351"";""MG"";""01"";""0817800"";19514;2488;22144;472;2"
"2025;""11"";""90149000"";""10"";""023"";""SP"";""04"";""0817600"";41;41;15552;5310;0"
"2025;""06"";""40094290"";""10"";""249"";""SP"";""01"";""0817800"";1978;1978;84889;1072;103"
"2025;""01"";""84714900"";""11"";""275"";""SP"";""04"";""0817600"";1;58;31872;661;41"
"2025;""09"";""69032090"";""10"";""160"";""RS"";""07"";""1010252"";1889;1889;3675;609;3"
"2025;""08"";""27129000"";""10"";""023"";""SP"";""01"";""0717600"";100;100;557;469;1"
"2025;""03"";""42021220"";""11"";""141"";""SC"";""01"";""0917800"";18;7;392;9;1"
"2025;""09"";""82152000"";""10"";""361"";""SP"";""04"";""0817600"";3;3;80;8;0"
