CO_ANO;CO_MES;CO_NCM;CO_UNID;CO_PAIS;SG_UF_NCM;CO_VIA;CO_URF;QT_ESTAT;KG_LIQUIDO;VL_FOB
2025;09;85045090;11;063;SP;07;1017504;5;4;344
2025;06;87168000;11;177;SP;01;0817800;4;868;1229
2025;10;03035990;10;476;ES;01;0717600;20;20;105
2025;04;90303100;11;586;PR;07;0917500;10;10;206
2025;06;39205100;10;195;RS;01;1017700;3;3;166
2025;09;73182400;10;586;RS;07;0917500;30;30;673
2025;07;03035400;10;077;SC;01;0917800;40;40;155
2025;03;76169900;10;069;SP;01;0817800;167;167;1423
2025;11;10059010;10;190;PR;01;0917800;61310483;61310483;12698619
2025;02;28181090;10;149;SC;01;0927800;15;15;16
2025;01;17011400;21;438;SP;01;0817800;180;180000;114708
2025;05;84329000;10;023;RS;01;0927700;7063;7063;120308
2025;02;84669330;10;586;SP;07;0917500;1;1;433
2025;09;39269090;10;493;GO;04;0817600;154;154;9158
2025;05;29333943;10;097;SP;07;0147600;1;1;67
2025;04;04072100;20;741;MA;01;0317903;22;22;57
2025;09;87019490;11;586;MS;07;0147800;1;9400;38224
2025;07;04090000;10;580;ES;01;0727600;12;12;155
2025;06;34029029;10;040;SP;01;0817800;2000;2000;10900
2025;03;39069011;10;158;SP;01;0817800;293200;293200;262266
2025;06;29173940;10;249;SP;01;0817800;124970;124970;508067
2025;05;84812090;11;063;SP;04;0817600;66;84;15928
2025;04;84099190;10;063;SP;01;0817800;1615;1615;28101
2025;11;90262010;11;589;SP;04;0817700;819;642;60116
2025;02;84812090;11;756;RS;01;0927800;80;5;480
2025;05;19059020;10;580;AM;01;0227600;33;33;253
2025;02;22060090;17;586;SC;07;0147700;2880;2880;1426
2025;07;07095900;10;776;PR;01;0917800;10;10;25
2025;09;04069020;10;232;RJ;01;0717600;3;3;37
2025;03;84231000;11;538;RJ;01;0717800;1;0;9
2025;07;41079910;15;391;RS;04;1017801;2355;1520;33814
2025;01;19023000;10;467;SP;01;0817800;60;60;332
2025;07;85015110;11;361;SC;04;0817600;57;2019;17893
2025;04;40169300;10;158;ES;07;1017500;3;3;274
2025;05;85308090;11;097;SP;07;0147600;10;3;104
2025;06;31052000;10;845;RS;07;1010351;78000;78000;32922
2025;05;96170010;10;607;SP;04;0817600;0;0;76
2025;02;39232910;10;434;SP;01;0817800;35;35;188
2025;10;30024280;10;741;SP;04;0817600;943;943;61602
2025;06;08045020;10;434;SP;01;0812051;30;30;46
2025;10;94037000;11;586;SP;15;0917500;1502;2870;13272
2025;04;19059020;10;232;RJ;01;0717600;2;2;16
2025;08;07061000;10;434;SP;01;0917800;65;65;58
2025;12;09041200;10;077;SP;01;0812051;3;3;32
2025;03;84136011;11;063;SC;07;1017500;747;7924;130599
2025;11;76161000;10;386;SP;04;0817600;0;0;9
2025;08;87083090;11;239;MG;01;0817800;482;22115;37516
2025;04;19059090;10;023;MA;01;0317903;24;24;158
2025;06;82159990;10;434;SP;01;0917800;5;5;33
2025;03;32030019;10;169;SP;04;0817700;42;42;1768
2025;12;82119100;11;399;RS;04;0817700;240;7;161
2025;07;87082992;11;239;MG;01;0817800;3;2;124
2025;02;62042200;11;158;RJ;04;0817700;4;3;299
2025;04;73269090;10;190;MG;04;0817700;24;24;109
2025;04;28353920;10;169;SP;01;0817800;50;50;688
2025;07;44209000;10;249;RJ;04;0717700;0;0;58
2025;08;38119090;10;160;RJ;01;0817800;100;100;1413
2025;09;90184999;11;063;SP;07;1017500;629;1696;23481
2025;04;84812090;11;493;RJ;01;0717600;171;447;12831
2025;10;49111090;10;239;RS;04;0817700;1;1;3
2025;10;82052000;10;063;SP;04;0817700;2;2;177
2025;07;84812019;11;275;SP;01;0817800;4;35;871
2025;06;08071100;10;434;PR;01;0817800;80;80;35
2025;11;20089900;10;077;ES;01;0717600;5;5;65
2025;07;85115010;11;160;SC;01;0817800;103;196;5330
2025;03;03033900;10;580;ES;01;0717800;60;60;125
2025;12;39061000;10;493;SP;04;0817600;13;13;2885
2025;04;39269090;10;249;SC;01;0927700;108;108;3214
2025;03;61044300;11;158;CE;04;0817600;7;1;374
2025;03;96034010;11;434;CE;01;0317900;89;6;354
2025;01;85444200;10;756;SP;01;0817800;19;19;2009
2025;08;04051000;10;043;RJ;01;0717600;17;17;191
2025;05;37013021;15;023;RJ;01;0717600;120029;92965;668659
2025;11;94036000;11;249;SP;04;0817600;91;18501;263815
2025;11;76161000;10;791;SP;04;0817600;5;5;15967
2025;08;42029200;11;586;MG;07;0917500;18;9;291
2025;07;84136090;11;040;MG;04;0817600;9;86;8452
2025;01;83021000;10;063;PR;01;0817800;6;6;131
2025;04;90213980;10;361;RS;04;0817700;2;2;4480
2025;06;87083090;11;589;PR;04;0817700;70;193;1964
2025;08;85122021;11;275;RS;04;0817600;1200;36;5280
2025;08;02071423;10;493;SC;01;0927700;54000;54000;115108
2025;12;40093210;10;063;PR;07;1017503;0;0;5
2025;09;21011110;21;580;ES;01;0717800;0;4;60
2025;09;21039021;10;077;SC;01;0817800;11;11;108
2025;07;40114000;11;399;SP;04;0817700;28;85;490
2025;04;94032010;11;063;RS;07;1017503;125;1079;4963
2025;07;94049000;10;249;SP;04;0817600;1;1;2461
2025;08;08061000;10;741;ES;01;0727600;60;60;347
2025;07;85361000;11;158;SP;04;0817700;6044;2809;46931
2025;09;87089482;11;063;PR;07;1017503;1026;2795;35187
2025;02;84819010;10;845;SP;07;1010252;61;61;1940
2025;06;82032090;10;247;RS;01;1017700;4;4;322
2025;07;40027000;10;249;RS;01;1017700;248100;248100;694622
2025;09;20041000;10;573;CE;01;0317900;5;5;25
2025;05;84804910;11;386;SP;04;0817600;20;7;29
2025;03;44071100;16;244;RS;01;0717800;112;52246;24313
2025;05;15180090;10;169;MG;04;0817700;393;393;8611
2025;07;73182200;10;573;SP;04;0817600;0;0;84
2025;07;84812090;11;249;PA;04;0817700;1;2;4429
2025;05;12092900;10;244;BA;04;0817600;3000;3000;21000
2025;02;11042300;10;607;GO;01;0917800;72000;72000;56024
2025;03;08061000;10;137;PA;01;0217800;30;30;134
2025;01;40129090;10;827;SP;01;0817800;39130;39130;157093
2025;11;22030000;17;607;RS;01;1017700;136;136;311
2025;04;15079011;21;589;MS;07;0230154;81;81075;118142
2025;01;84819090;10;160;RS;04;0817600;269;269;16376
2025;04;84249090;10;827;RS;01;1017700;1317;1317;28015
2025;11;87032290;11;249;SP;01;0817800;3;3220;60554
2025;07;16025000;10;767;CE;01;0317900;10;10;42
2025;01;76041010;10;158;SP;04;0817600;0;0;5
2025;08;08052100;10;077;ES;01;0717600;80;80;340
2025;02;11022000;10;297;PR;01;0917800;23000;23000;8947
2025;04;85332900;11;097;SP;07;0147600;2;0;9
2025;09;10063021;10;195;PA;00;0210200;20;20;31
2025;05;84879000;10;063;SP;01;0817800;46;46;1086
2025;10;73239300;10;756;RS;01;0927800;716;716;7865
2025;07;07049000;10;361;PR;01;0917800;25;25;8
2025;02;48237000;10;586;PR;07;0917500;0;0;12
2025;06;32091010;10;845;PR;07;1010252;89366;89366;104650
2025;12;08031000;10;434;AL;01;0417902;15;15;23
2025;08;85049040;10;647;SP;04;0817600;0;0;378
2025;03;33030020;10;589;SP;01;0817800;62952;62952;641955
2025;06;18069000;10;149;SP;04;0817600;340;340;6793
2025;06;16042090;10;434;RJ;01;0812051;3;3;38
2025;02;08072000;10;077;SP;01;0817800;60;60;108
2025;08;85014019;11;317;MG;04;0817600;4;0;49
2025;02;03035300;10;386;SP;01;0817800;50;50;128
2025;01;16024900;10;399;RS;01;1017700;2072;2072;4090
2025;05;39269090;10;690;RS;01;1017700;52;52;170
2025;05;82041100;10;063;RJ;07;1017503;16;16;170
2025;06;19011030;10;351;SP;01;0817800;3;3;6
2025;10;85413029;11;493;SP;04;0817700;12;20;12600
2025;05;56029000;10;365;SP;04;0817700;1;1;104
2025;10;52103200;10;169;SP;01;0817800;3342;3342;15752
2025;08;72162100;10;355;SP;04;0817700;21;21;33
2025;03;38069011;10;240;PR;01;0917800;36000;36000;58326
2025;04;09012100;10;607;CE;01;0317900;4;4;98
2025;03;84091000;10;249;MT;04;0817700;0;0;1215
2025;09;84812090;11;827;SP;04;0817600;4000;8;2801
2025;08;20094900;10;063;SP;07;1017500;300;300;1260
2025;10;85389010;11;169;SC;04;0817700;5;10;1049
2025;08;25010020;10;607;PA;00;0210200;16;16;21
2025;02;07019000;10;476;SC;01;0917800;185;185;176
2025;12;62069000;11;249;SP;04;0817700;45;13;1762
2025;07;84798999;11;063;SC;07;1017505;403;769;7026
2025;07;70191900;10;196;SP;04;0817600;51;51;2567
2025;06;11022000;10;245;PR;01;0817800;1005;1005;1033
2025;10;94039100;10;063;PR;07;1017500;94;94;433
2025;02;84515020;11;063;SC;07;1017500;1;588;26586
2025;08;33051000;10;301;RJ;01;0727600;0;0;4
2025;02;49089000;10;097;SP;04;0817600;0;0;2
2025;10;02071413;10;351;GO;01;0927700;27870;27870;42690
2025;10;84716059;11;586;SP;04;0817700;1;0;318
2025;07;84798210;11;158;SP;04;0817600;1;600;13240
2025;10;82023900;10;586;PR;07;0917500;108;108;1117
2025;10;85119000;10;325;SP;04;0817700;10;10;1013
2025;10;62023000;11;317;SC;04;0927501;14;3;123
2025;07;40059190;10;158;MG;04;0817600;1094;1094;4505
2025;08;33069000;10;603;SC;04;0817700;0;0;0
2025;12;73181600;10;647;RS;01;0817800;0;0;0
2025;09;22021000;17;111;BA;01;0517800;5;5;28
2025;01;67041100;10;249;RS;04;0817600;8;8;5217
2025;06;84099979;11;493;MG;01;0817800;178898;5174;39691
2025;05;84824000;11;317;PR;04;0817700;30;1;10
2025;10;74153300;10;023;SC;01;0927700;12;12;35
2025;10;84369900;10;249;SP;01;0817800;1;1;72
2025;04;39229000;10;845;SP;07;1017701;1192;1192;11508
2025;04;73181900;10;063;SP;07;1017500;2646;2646;21484
2025;07;70072100;11;493;RS;01;0927700;37;1094;7227
2025;01;03031900;10;434;SP;01;0817800;50;50;538
2025;08;85015210;11;589;SC;01;0927700;693;49412;190267
2025;06;84835010;11;249;SP;01;0817800;1659;9529;197626
2025;09;56031390;10;845;RS;07;1010252;6;6;573
2025;01;07039090;10;275;CE;01;0317900;5;5;32
2025;09;38249931;10;158;SP;07;1017500;7287;7287;34658
2025;01;85365090;11;455;PR;01;0817800;10;0;140
2025;10;85365090;11;063;RS;07;1017500;2505;524;36201
2025;01;08055000;10;245;SP;04;0817600;8424;8424;3857
2025;11;17019900;21;434;AM;01;0227600;0;1;3
2025;07;73072900;10;249;SC;04;0817600;1;1;31
2025;04;73151190;10;063;SP;04;0817600;73;73;967
2025;12;85113020;11;239;PR;01;0917800;13;3;287
2025;09;85013110;11;776;SP;04;0817600;1;3;49
2025;11;12024200;10;676;SP;01;0917800;1150000;1150000;1114715
2025;11;48239099;10;169;RS;01;1017700;0;0;20
2025;06;34029090;10;087;RJ;01;0717600;5;5;18
2025;01;70071100;11;275;SP;04;0817700;1;13;27
2025;03;84159090;10;756;RS;01;0817800;48;48;13899
2025;09;84195090;11;776;SP;04;0817700;1;4;3800
2025;11;84145990;11;850;RS;01;1017700;2;26;5288
2025;02;44182900;10;149;SC;01;0927700;38520;38520;99992
2025;02;85423190;11;063;SP;04;0817600;1;0;3760
2025;04;85129000;10;239;SP;01;0817800;5014;5014;57553
2025;12;85249100;11;249;MG;04;0817600;1;6;651
2025;09;73202090;10;063;RJ;07;1017500;23;23;114
2025;02;84189900;10;063;SP;07;1017503;6856;6856;96569
2025;05;85437099;11;647;SC;04;0817700;5;0;35
2025;08;82075011;10;337;RR;00;0260152;0;0;6
2025;06;85051990;10;317;SP;01;0817800;1;1;206
2025;11;02044200;10;434;ES;01;0710251;18;18;364
2025;10;85176239;11;858;SC;04;0817600;4;13;9931
2025;06;63026000;10;249;SC;04;0927501;974;974;10170
2025;03;84822010;11;063;RJ;07;1017503;35;22;260
2025;06;07133399;10;767;SP;01;0817800;4000;4000;13723
2025;02;90318099;11;239;SP;04;0817600;2;0;54
2025;03;21032010;10;476;ES;01;0727600;91;91;144
2025;01;85432000;11;589;MG;01;0817800;43;1;502
2025;10;60063210;10;586;PR;15;0917500;101;101;1008
2025;05;90261011;11;158;SP;04;0817600;11;623;24439
2025;03;07049000;10;538;CE;01;0317900;32;32;49
2025;02;28289011;10;163;PA;01;0217800;50;50;46
2025;07;21031010;10;580;PR;01;0917800;48;48;98
2025;11;16041310;10;538;SP;01;0817800;5;5;27
2025;12;15079019;21;351;SP;01;0817800;0;18;43
2025;12;68042211;10;845;SP;04;0817600;1;1;1080
2025;12;39173229;10;097;SC;07;0147600;1214;1214;15547
2025;10;52103100;10;586;SP;15;0917500;253;253;3306
2025;07;35069110;10;169;SP;04;0817700;3;3;75
2025;07;59113200;10;573;SC;01;0817800;3628;3628;169715
2025;06;08039000;10;845;SC;07;1010252;1060798;1060798;304168
2025;08;84798999;11;232;SP;04;0817600;1;353;23200
2025;05;84833090;11;521;SP;04;0817600;10;4;487
2025;03;16024900;10;040;RS;01;0927800;95760;95760;229525
2025;09;59090000;10;498;RS;04;0817700;0;0;15
2025;11;63042000;10;434;PR;01;0917800;0;0;16
2025;09;84339090;10;275;SP;04;0817700;1801;1801;22307
2025;05;82055900;10;063;MG;07;1017503;61;61;407
2025;04;44013100;10;249;PR;01;0927700;27300;27300;4760
2025;08;04089100;10;090;SP;01;0817800;60;60;187
2025;03;55162200;10;158;RJ;04;0717700;15;15;968
2025;11;90278999;11;249;SP;04;0417901;0;0;18
2025;11;84835010;11;249;PR;04;0817700;4;11;154
2025;07;04061090;10;476;SP;01;0717800;2;2;40
2025;08;87043190;11;063;MG;01;0717600;81;91557;724825
2025;05;48171000;10;434;AM;01;0227600;0;0;32
2025;06;02071413;10;715;RS;01;0927700;2250;2250;4040
2025;01;08071100;10;105;ES;01;0727600;150;150;68
2025;12;39263000;10;493;RS;01;1017700;51;51;529
2025;01;90318099;11;063;RS;07;1017500;7;10;81
2025;10;96040000;11;586;SP;07;0917500;9770;440;2904
2025;07;61061000;11;040;SP;04;0817600;2;1;40
2025;06;21069090;10;434;RJ;01;0812051;1;1;20
2025;08;19021900;10;741;RJ;01;0717600;11;11;55
2025;03;16010000;10;628;RJ;01;0717800;17;17;56
2025;01;84813000;11;275;SP;01;0817800;125;4081;51903
2025;08;12024200;10;137;SP;01;0817800;2;2;13
2025;12;87083090;11;845;SP;07;1010351;376;588;7502
2025;01;10063029;10;467;SP;01;0817800;282;282;1215
2025;04;84818092;11;317;SP;01;0817800;14;4;759
2025;03;30066000;10;589;SP;04;0817700;215;215;7600
2025;11;38069019;10;023;SP;01;0817800;25000;25000;38625
2025;11;85395100;11;169;SP;00;0810900;1;0;639
2025;03;85051990;10;467;RJ;01;0717600;0;0;23
2025;05;07061000;10;580;SC;01;0927700;270;270;328
2025;03;29157011;10;169;SP;01;0817800;180;180;832
2025;02;85367000;11;239;PR;04;0817700;200;1;220
2025;12;64035990;13;069;RS;04;0817700;48;56;4353
2025;08;39232190;10;476;RJ;01;0717600;3;3;59
2025;01;56012190;10;137;SP;01;0817800;20;20;12
2025;02;62046900;11;607;SC;04;0817700;47;14;696
2025;05;02071419;10;351;PB;01;0417902;27000;27000;67620
2025;08;29181100;10;317;RJ;01;0717600;15300;15300;28564
2025;11;87089200;11;493;SP;04;0817600;34;120;4252
2025;05;73101090;10;586;PR;15;0917500;116;116;696
2025;04;20031000;10;077;RJ;01;0717600;4;4;11
2025;12;85371090;10;589;RS;04;0817700;3;3;3661
2025;07;82029990;10;023;MG;04;0817700;15;15;606
2025;02;84249090;10;249;RS;01;1017700;219;219;9262
2025;01;71171900;10;249;MG;12;0817600;0;0;302
2025;03;56031490;10;434;PR;01;0917800;3;3;71
2025;08;85334011;11;386;RS;04;0817700;50;2;247
2025;09;76071990;10;301;SP;01;0917800;3;3;53
2025;02;85122021;11;845;PR;07;1017701;2;0;18
2025;03;73181400;10;063;SC;01;0927800;3;3;8
2025;12;08012200;10;580;ES;01;0717800;1;1;7
2025;08;94035000;11;521;SC;01;0927800;20;3140;3424
2025;06;84041010;11;687;SP;01;0917800;0;33000;840000
2025;02;85124010;11;317;SP;01;0817800;2;5;158
2025;06;73269090;10;063;SP;07;1017504;334;334;13543
2025;10;19059020;10;586;SP;07;0917500;23299;23299;70167
2025;09;35069110;10;169;RS;01;1017700;40;40;114
2025;10;34024200;10;063;SP;01;0817800;369352;369352;747296
2025;09;39079999;10;607;RJ;04;0817600;76;76;1489
2025;03;73261900;10;158;SP;04;0817700;3;3;140
2025;11;39233090;10;770;AP;07;0240151;510;510;142
2025;05;39262000;10;249;SC;04;0817600;90;90;5965
2025;09;85389090;10;249;RN;04;0817600;4;4;332
2025;04;58110000;10;169;SP;04;0817700;64;64;3821
2025;09;49019900;10;245;SP;01;0817800;1050;1050;5023
2025;09;02022090;10;077;ES;01;0727600;47;47;208
2025;09;84818095;11;158;SP;04;0817700;9;43;2110
2025;02;90049090;11;063;PR;07;0917500;200;34;405
2025;12;38160019;10;063;SP;01;0817800;400;400;908
2025;07;90189099;11;580;SP;01;0817800;10653;3569;104634
2025;10;11022000;10;249;ES;01;0727600;10;10;37
2025;06;82119210;11;158;RS;07;1017500;38016;2440;52437
2025;08;20093900;10;199;SP;01;0817800;762;762;1105
2025;11;29372349;10;169;SP;04;0817600;0;0;345
2025;11;51011110;10;845;RS;07;1010351;491467;491467;1128059
2025;11;71039100;19;249;MG;04;0617700;0;0;0
2025;11;85015210;11;776;SC;01;0817800;6;1601;5446
2025;01;02064900;10;077;SC;01;0927502;3000;3000;1788
2025;08;21069090;10;434;RS;01;1017700;18;18;103
